#At time x process y state arr w total z remain y wait k
At time 3 process 1 started arr 3 total 1 remain 1 wait 0
At time 4 process 1 finished arr 3 total 1 remain 0 wait 0 TA 1 WTA 1.00
#At time x process y state arr w total z remain y wait k
At time 3 process 1 started arr 3 total 1 remain 1 wait 0
At time 4 process 1 finished arr 3 total 1 remain 0 wait 0 TA 1 WTA 1.00
#At time x process y state arr w total z remain y wait k
At time 3 process 1 started arr 3 total 1 remain 1 wait 0
At time 4 process 1 finished arr 3 total 1 remain 0 wait 0 TA 1 WTA 1.00
At time 12 process 2 started arr 12 total 21 remain 21 wait 0
At time 14 process 2 paused arr 12 total 21 remain 21 wait 0
At time 14 process 2 resumed arr 12 total 21 remain 21 wait 0
At time 16 process 2 paused arr 12 total 21 remain 21 wait 0
At time 16 process 2 resumed arr 12 total 21 remain 21 wait 0
At time 18 process 2 paused arr 12 total 21 remain 21 wait 0
At time 18 process 3 started arr 17 total 16 remain 16 wait 1
At time 20 process 3 paused arr 17 total 16 remain 16 wait 1
At time 20 process 2 resumed arr 12 total 21 remain 21 wait 2
At time 22 process 2 paused arr 12 total 21 remain 21 wait 2
At time 22 process 3 resumed arr 17 total 16 remain 16 wait 3
At time 24 process 3 paused arr 17 total 16 remain 16 wait 3
At time 24 process 2 resumed arr 12 total 21 remain 21 wait 4
At time 26 process 2 paused arr 12 total 21 remain 21 wait 4
At time 26 process 4 started arr 24 total 22 remain 22 wait 2
At time 28 process 4 paused arr 24 total 22 remain 22 wait 2
At time 28 process 3 resumed arr 17 total 16 remain 16 wait 7
At time 30 process 3 paused arr 17 total 16 remain 16 wait 7
At time 30 process 2 resumed arr 12 total 21 remain 21 wait 8
At time 32 process 2 paused arr 12 total 21 remain 21 wait 8
At time 32 process 5 started arr 27 total 4 remain 4 wait 5
At time 34 process 5 paused arr 27 total 4 remain 4 wait 5
At time 34 process 6 started arr 28 total 24 remain 24 wait 6
At time 36 process 6 paused arr 28 total 24 remain 24 wait 6
At time 36 process 4 resumed arr 24 total 22 remain 22 wait 10
At time 38 process 4 paused arr 24 total 22 remain 22 wait 10
At time 38 process 3 resumed arr 17 total 16 remain 16 wait 15
At time 40 process 3 paused arr 17 total 16 remain 16 wait 15
At time 40 process 2 resumed arr 12 total 21 remain 21 wait 16
At time 42 process 2 paused arr 12 total 21 remain 21 wait 16
At time 42 process 5 resumed arr 27 total 4 remain 4 wait 13
At time 43 process 5 paused arr 27 total 4 remain 4 wait 13
At time 43 process 6 resumed arr 28 total 24 remain 24 wait 13
At time 45 process 6 paused arr 28 total 24 remain 24 wait 13
At time 45 process 7 started arr 38 total 1 remain 1 wait 7
At time 46 process 7 finished arr 38 total 1 remain 0 wait 7 TA 8 WTA 8.00
At time 46 process 4 resumed arr 24 total 22 remain 22 wait 18
At time 48 process 4 paused arr 24 total 22 remain 22 wait 18
At time 48 process 3 resumed arr 17 total 16 remain 16 wait 23
At time 50 process 3 paused arr 17 total 16 remain 16 wait 23
At time 50 process 2 resumed arr 12 total 21 remain 21 wait 24
At time 52 process 2 paused arr 12 total 21 remain 21 wait 24
At time 52 process 5 resumed arr 27 total 4 remain 4 wait 22
At time 53 process 5 finished arr 27 total 4 remain 0 wait 22 TA 26 WTA 6.50
At time 53 process 6 resumed arr 28 total 24 remain 24 wait 21
At time 55 process 6 paused arr 28 total 24 remain 24 wait 21
At time 55 process 8 started arr 48 total 14 remain 14 wait 7
At time 57 process 8 paused arr 48 total 14 remain 14 wait 7
At time 57 process 4 resumed arr 24 total 22 remain 22 wait 27
At time 59 process 4 paused arr 24 total 22 remain 22 wait 27
At time 59 process 3 resumed arr 17 total 16 remain 16 wait 32
At time 61 process 3 paused arr 17 total 16 remain 16 wait 32
At time 61 process 2 resumed arr 12 total 21 remain 21 wait 33
At time 63 process 2 paused arr 12 total 21 remain 21 wait 33
At time 63 process 9 started arr 54 total 26 remain 26 wait 9
At time 65 process 9 paused arr 54 total 26 remain 26 wait 9
At time 65 process 6 resumed arr 28 total 24 remain 24 wait 31
At time 67 process 6 paused arr 28 total 24 remain 24 wait 31
At time 67 process 8 resumed arr 48 total 14 remain 14 wait 17
At time 69 process 8 paused arr 48 total 14 remain 14 wait 17
